year,player_0,pos,college,weight_0,forty,vertical,bench,broad,threecone,shuttle,Height,round_0,pick_0,side,position_0,overall,team_1,pos_rk,grade
2.0,1069.0,0.0,60.0,32.0,2.0,13.0,0.0,28.0,0.0,0.0,3.0,0.0,131.0,0.0,0.0,82,2.0,15.0,4.0
2.0,2942.0,11.0,81.0,74.0,38.0,0.0,0.0,13.0,26.0,98.0,1.0,4.0,33.0,1.0,1.0,155,1.0,6.0,23.0
2.0,881.0,6.0,7.0,134.0,54.0,11.0,11.0,17.0,0.0,0.0,0.0,0.0,94.0,1.0,6.0,64,22.0,5.0,6.0
2.0,2637.0,2.0,44.0,117.0,120.0,17.0,11.0,27.0,183.0,89.0,10.0,1.0,71.0,0.0,5.0,115,1.0,5.0,33.0
2.0,3510.0,1.0,10.0,25.0,6.0,3.0,17.0,1.0,7.0,61.0,6.0,5.0,213.0,1.0,2.0,170,16.0,21.0,34.0
2.0,1676.0,8.0,45.0,102.0,54.0,22.0,4.0,19.0,36.0,11.0,2.0,6.0,224.0,0.0,7.0,220,1.0,11.0,41.0
2.0,1359.0,5.0,10.0,84.0,8.0,0.0,9.0,0.0,0.0,0.0,3.0,1.0,72.0,1.0,2.0,122,16.0,10.0,35.0
2.0,1179.0,6.0,42.0,40.0,51.0,22.0,7.0,17.0,79.0,47.0,0.0,3.0,51.0,1.0,6.0,51,2.0,6.0,37.0
2.0,3308.0,8.0,42.0,96.0,49.0,6.0,7.0,9.0,20.0,28.0,4.0,1.0,24.0,0.0,7.0,109,14.0,8.0,20.0
2.0,2281.0,0.0,13.0,7.0,29.0,6.0,0.0,1.0,0.0,0.0,6.0,2.0,29.0,0.0,0.0,13,14.0,5.0,45.0
2.0,2260.0,0.0,32.0,42.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,41.0,0.0,0.0,3,22.0,0.0,70.0
2.0,3419.0,16.0,28.0,56.0,5.0,8.0,0.0,1.0,7.0,96.0,5.0,5.0,112.0,0.0,3.0,191,9.0,11.0,20.0
2.0,2166.0,7.0,44.0,73.0,8.0,0.0,14.0,0.0,0.0,0.0,1.0,0.0,161.0,1.0,1.0,93,25.0,4.0,7.0
2.0,519.0,0.0,65.0,1.0,104.0,21.0,0.0,13.0,9.0,57.0,9.0,1.0,63.0,0.0,0.0,99,26.0,31.0,26.0
2.0,2543.0,8.0,54.0,119.0,60.0,1.0,8.0,19.0,52.0,9.0,1.0,6.0,235.0,0.0,7.0,232,18.0,12.0,29.0
2.0,2922.0,2.0,14.0,91.0,65.0,20.0,5.0,17.0,109.0,10.0,10.0,2.0,84.0,0.0,5.0,2,26.0,0.0,70.0
2.0,616.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,6.0,1.0,2.0,28,18.0,3.0,25.0
2.0,1356.0,7.0,46.0,26.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,124.0,1.0,1.0,69,21.0,10.0,20.0
2.0,2892.0,1.0,19.0,9.0,10.0,10.0,18.0,8.0,32.0,96.0,6.0,0.0,61.0,1.0,2.0,92,9.0,14.0,8.0
2.0,2923.0,4.0,3.0,115.0,25.0,2.0,5.0,16.0,0.0,0.0,0.0,1.0,103.0,1.0,4.0,117,0.0,14.0,27.0
