year,player,pos,height_0,weight_0,forty,vertical,bench,broad,threecone,shuttle,school_abbr,overall,team_abbr,pos_rk,ovr_rk,grade,side,category
2011,Niles Brinkley,1.0,,193,4,33,15,120,7,,NaN,,NaN,,,,NaN,NaN
2011,Ben Ijalana,8.0,,317,5,,,,,,NaN,,NaN,,,,0.0,3.0
2012,Quentin Saulsberry,12.0,,304,5,22,26,90,8,4,NaN,,NaN,,,,NaN,NaN
2013,Stefphon Jefferson,2.0,,213,4,31,15,117,6,4,NaN,,NaN,,,,NaN,NaN
2013,Chris Jones,6.0,,302,5,,30,,7,4,19.0,37,27.0,3,28,89,1.0,4.0
2021,Gregory Rousseau,17.0,,266,4,30,21,115,,,13.0,30,2.0,7,48,84,1.0,1.0
2005,Jason Harmon,3.0,,209,4,37,23,118,7,4,10.0,NA,0.0,22,263,43,NaN,NaN
2005,Alex Holmes,9.0,,265,5,,18,,,,10.0,NA,0.0,5,125,68,NaN,NaN
2006,Jeremy Bloom,0.0,,173,4,,,,,,28.0,147,8.0,3,NA,60,1.0,0.0
2007,C.J. Wilson,1.0,,195,4,37,,127,6,4,41.0,226,20.0,26,217,45,1.0,1.0
2010,Golden Tate,0.0,,199,4,35,17,120,7,4,84.0,120,11.0,NA,NA,NA,0.0,2.0
2012,Mike Harris,1.0,,188,4,36,,117,6,4,2.0,176,13.0,34,NA,32,1.0,0.0
2016,Kevon Seymour,1.0,,186,4,35,12,124,,4,0.0,218,2.0,23,193,54,1.0,0.0
2017,Vince Biegel,7.0,,246,4,33,21,118,6,4,64.0,108,15.0,7,135,65,1.0,4.0
2017,Josh Jones,3.0,,220,4,37,20,132,,,48.0,61,15.0,4,43,86,0.0,3.0
2019,Derwin Gray,5.0,,320,5,,26,90,,,61.0,92,11.0,NA,NA,NA,0.0,3.0
2019,Charles Omenihu,17.0,,280,4,36,,115,7,4,8.0,161,30.0,16,131,66,1.0,1.0
2002,Bobby Sippio,1.0,,214,4,37,12,123,6,4,NaN,,NaN,,,,NaN,NaN
2004,Deandre' Eiland,3.0,,202,4,35,17,113,7,4,26.0,184,3.0,9,122,66,NaN,NaN
2007,Ray McDonald,4.0,,276,4,,,,,,4.0,187,22.0,NA,NA,NA,1.0,1.0
2007,Anthony Pudewell,9.0,,250,5,25,15,101,7,4,82.0,NA,0.0,15,249,38,NaN,NaN
2011,Greg Lloyd,11.0,,246,4,32,22,109,7,4,69.0,237,8.0,15,281,34,1.0,4.0
2011,Lee Ziemba,5.0,,317,5,29,20,95,7,4,21.0,244,20.0,9,104,71,0.0,3.0
2016,Graham Glasgow,12.0,,307,5,25,23,106,7,4,14.0,95,9.0,4,122,66,0.0,3.0
2018,Allen Lazard,0.0,,227,4,38,17,122,,,89.0,NA,0.0,13,109,69,NaN,NaN
2019,John Cominsky,17.0,,286,4,33,22,116,7,4,200.0,135,19.0,19,187,58,1.0,1.0
2019,Terry McLaurin,0.0,,208,4,37,18,125,7,4,3.0,76,23.0,8,57,81,0.0,2.0
2020,Broderick Washington,17.0,,305,,,23,,,,NaN,,NaN,,,,NaN,NaN
2000,Ron Dayne,2.0,,259,4,,,,,,32.0,11,25.0,NA,NA,NA,0.0,5.0
2002,Hayden Epstein,18.0,,212,4,,,,,,14.0,247,13.0,NA,NA,NA,2.0,9.0
2006,Chris Hannon,0.0,,205,4,34,,122,,,NaN,,NaN,,,,NaN,NaN
2009,Jon Cooper,12.0,,291,5,29,31,105,7,4,NaN,,NaN,,,,NaN,NaN
2010,Mike McLaughlin,11.0,,242,4,38,29,114,6,4,NaN,,NaN,,,,NaN,NaN
2014,Austin Franklin,0.0,,189,4,36,7,124,7,4,NaN,,NaN,,,,NaN,NaN
2014,Cyrus Kouandjio,5.0,,322,5,27,21,96,7,4,6.0,44,2.0,7,32,88,0.0,3.0
2015,Troy Hill,1.0,,180,4,32,,120,6,4,17.0,NA,0.0,24,196,48,NaN,NaN
2005,Justin Beriault,3.0,,204,4,39,14,132,6,3,110.0,208,4.0,18,202,54,1.0,0.0
2006,Marvin Philip,12.0,,307,5,27,27,96,7,4,35.0,201,5.0,7,NA,41,0.0,3.0
2009,Brandon Williams,4.0,,261,4,33,,112,7,4,32.0,84,1.0,10,93,72,0.0,2.0
2010,Amari Spievey,1.0,,195,4,35,,116,,,31.0,66,9.0,8,71,77,1.0,0.0
2010,Dan Williams,6.0,,327,5,32,27,96,7,4,20.0,26,16.0,3,15,93,1.0,1.0
2011,Kevin Hughes,5.0,,302,5,29,22,95,8,4,159.0,NA,0.0,24,283,34,NaN,NaN
2011,Derrell Smith,11.0,,243,4,,,,,,27.0,NA,0.0,13,241,40,NaN,NaN
2011,Terrance Turner,0.0,,220,4,41,16,128,6,4,10.0,NA,0.0,30,233,42,NaN,NaN
2012,Casey Hayward,1.0,,192,4,34,19,119,6,3,68.0,62,15.0,8,66,80,1.0,0.0
2013,Devin Taylor,4.0,,266,4,35,14,128,6,4,26.0,132,9.0,16,124,67,1.0,1.0
2019,Nate Herbig,14.0,,335,5,24,29,90,8,5,16.0,NA,0.0,8,150,63,NaN,NaN
2021,Khalil McClain,0.0,,214,4,32,15,114,7,4,NaN,,NaN,,,,NaN,NaN
2022,Dohnovan West,12.0,,296,5,28,,112,,,NaN,,NaN,,,,NaN,NaN
2005,Braylon Edwards,0.0,,211,4,,,,,,14.0,3,14.0,1,1,99,0.0,2.0
2010,Ted Larsen,12.0,,304,5,24,26,96,7,4,48.0,205,22.0,4,NA,52,0.0,3.0
2010,Erik Lorig,4.0,,281,4,,,,,,16.0,253,10.0,27,NA,30,1.0,1.0
2011,Aldon Smith,4.0,,263,4,34,20,118,7,4,45.0,7,1.0,3,14,93,1.0,1.0
2014,Teddy Bridgewater,10.0,,214,,30,,113,7,4,33.0,32,3.0,3,28,89,0.0,7.0
2015,Michael Burton,16.0,,242,4,33,25,115,7,4,66.0,168,9.0,2,316,32,0.0,5.0
2021,Ambry Thomas,19.0,,191,4,38,15,122,,,14.0,102,1.0,25,166,58,1.0,0.0
2002,Ed Ta'amu,8.0,,335,5,29,28,,,,18.0,132,3.0,NA,NA,NA,NaN,NaN
2004,Greg Jones,2.0,,249,4,,,,,,29.0,129,3.0,NA,NA,NA,1.0,4.0
2005,Scott Starks,1.0,,172,4,43,13,137,6,3,32.0,87,13.0,15,101,71,1.0,0.0
2006,Winston Justice,5.0,,319,5,35,,110,7,4,0.0,39,8.0,2,12,96,0.0,3.0
2016,William Jackson III,1.0,,189,4,,10,116,,,75.0,24,7.0,2,22,90,NaN,NaN
2019,Gerri Green,20.0,,252,4,35,24,114,7,4,19.0,199,11.0,29,336,34,1.0,1.0
2020,Derrick Brown,17.0,,326,5,27,28,108,8,4,21.0,7,20.0,1,3,94,1.0,1.0
2021,Jayson Oweh,4.0,,257,4,39,21,134,6,4,NaN,,NaN,,,,1.0,1.0
2022,Malik Willis,10.0,,219,,,,,,,NaN,,NaN,,,,NaN,NaN
2006,Parys Haralson,4.0,,253,4,32,24,115,7,4,20.0,140,1.0,9,97,71,1.0,1.0
2008,Pierre Garcon,0.0,,210,4,36,20,125,6,4,186.0,205,11.0,26,NA,47,0.0,2.0
2008,Xavier Omon,2.0,,228,4,31,17,112,,,188.0,179,2.0,37,NA,30,0.0,5.0
2008,Terrence Wheatley,1.0,,187,4,36,17,128,6,4,28.0,62,22.0,16,95,71,1.0,0.0
2010,Pat Paschall,2.0,,209,4,38,15,118,7,4,NaN,,NaN,,,,NaN,NaN
2011,Devon Torrence,1.0,,199,4,33,,111,6,4,10.0,NA,0.0,31,245,39,NaN,NaN
2019,Khari Willis,3.0,,213,4,34,22,118,,,23.0,109,11.0,15,154,62,1.0,0.0
2000,James Williams,0.0,,180,4,36,,123,7,4,19.0,158,28.0,NA,NA,NA,0.0,2.0
2002,Roe Williams,1.0,,204,4,38,23,123,,,NaN,,NaN,,,,NaN,NaN
2003,Bethel Johnson,0.0,,201,4,38,,127,,,15.0,45,22.0,NA,NA,NA,0.0,2.0
2006,Quinton Ganther,2.0,,218,4,35,29,119,7,,18.0,246,12.0,24,NA,31,0.0,5.0
2010,Darrell Stuckey,3.0,,205,4,39,17,120,,,86.0,110,26.0,14,NA,51,1.0,0.0
2011,Chris Carter,7.0,,248,4,36,27,114,6,4,8.0,89,22.0,NA,NA,NA,1.0,4.0
2012,LaVon Brazill,0.0,,192,4,32,11,,,,137.0,206,11.0,23,161,56,0.0,2.0
2012,Lamar Holmes,5.0,,323,5,27,22,104,7,4,77.0,91,19.0,22,NA,31,0.0,3.0
2012,Amini Silatolu,8.0,,311,5,31,28,107,7,4,261.0,40,20.0,4,40,87,0.0,3.0
2016,De'Vondre Campbell,7.0,,232,4,34,16,116,,,62.0,115,19.0,13,161,58,1.0,4.0
2018,Dee Delaney,1.0,,194,4,32,13,120,6,4,NaN,,NaN,,,,NaN,NaN
2021,Brenden Knox,2.0,,215,4,35,23,112,7,4,65.0,NA,0.0,22,278,34,NaN,NaN
2022,Jalen Wydermyer,9.0,,255,,,,,,,NaN,,NaN,,,,NaN,NaN
2001,Willie Howard,6.0,,295,4,,23,,,,16.0,57,3.0,NA,NA,NA,1.0,1.0
2001,Rudi Johnson,2.0,,227,4,37,24,119,7,4,21.0,100,7.0,NA,NA,NA,0.0,5.0
2002,Brett Keisel,4.0,,279,4,33,26,107,7,4,61.0,242,5.0,NA,NA,NA,1.0,1.0
2004,Larry Stevens,4.0,,241,4,,,,,,NaN,,NaN,,,,NaN,NaN
2013,Phillip Thomas,3.0,,208,4,35,14,122,,,27.0,NA,0.0,10,153,58,1.0,0.0
2014,Storm Johnson,2.0,,209,4,35,16,118,,,63.0,222,13.0,12,140,59,0.0,5.0
2017,John Johnson,3.0,,205,4,37,14,119,6,4,42.0,91,34.0,10,97,73,1.0,0.0
