year,player,pos,height_0,weight_0,forty,vertical,bench,broad,threecone,shuttle,school_abbr,overall,team_abbr,pos_rk,ovr_rk,grade,side,category
2001,Chris Brown,5.0,,329,5,,30,,,,28.0,93,12.0,NA,NA,NA,1.0,0.0
2006,LeKevin Smith,6.0,,316,4,30,30,109,7,4,NaN,,NaN,,,,NaN,NaN
2011,Pernell McPhee,4.0,,278,4,28,20,107,7,4,19.0,165,6.0,17,137,63,1.0,1.0
2013,Steve Beauharnais,11.0,,240,4,33,19,118,6,4,66.0,235,22.0,7,138,62,1.0,4.0
2016,Thomas Duarte,9.0,,231,4,33,12,118,6,4,29.0,231,24.0,20,163,58,0.0,6.0
2018,Marcell Harris,3.0,,208,,,16,,,,4.0,184,1.0,28,330,31,1.0,0.0
2019,Lukas Denis,3.0,,190,4,33,16,116,6,4,42.0,NA,0.0,18,192,56,NaN,NaN
2000,Travares Tillman,3.0,,194,4,37,15,123,6,4,56.0,58,2.0,NA,NA,NA,1.0,0.0
2001,Morlon Greenwood,7.0,,237,4,33,21,112,7,4,27.0,88,24.0,NA,NA,NA,1.0,4.0
2001,LaShaun Mack,12.0,,299,5,26,17,92,8,4,NaN,,NaN,,,,NaN,NaN
2003,Demetrin Veal,4.0,,288,5,,26,111,,,20.0,238,19.0,NA,NA,NA,1.0,1.0
2006,Haloti Ngata,6.0,,338,5,31,37,110,7,4,17.0,12,6.0,2,10,96,1.0,1.0
2015,Bryan Bennett,10.0,,211,4,37,,125,7,4,159.0,NA,0.0,8,279,36,NaN,NaN
2015,Tye Smith,1.0,,195,4,36,15,124,6,3,192.0,170,17.0,20,172,51,1.0,0.0
2017,Colin Holba,21.0,,248,5,28,,115,,,33.0,213,5.0,1,NA,30,2.0,10.0
2019,Deebo Samuel,0.0,,214,4,39,15,122,7,4,26.0,36,1.0,3,39,86,0.0,2.0
2021,Jake Curhan,14.0,,316,5,24,15,102,8,4,35.0,NA,0.0,21,277,34,NaN,NaN
2001,Michael Bennett,2.0,,207,4,39,13,130,,,15.0,NA,0.0,12,99,70,1.0,1.0
2022,Blaise Andries,8.0,,308,5,30,,106,7,4,NaN,,NaN,,,,NaN,NaN
2001,Steve Smith,0.0,,184,4,38,,121,7,4,12.0,81,35.0,NA,NA,NA,1.0,0.0
2003,Paul Arnold,0.0,,213,4,40,,131,6,4,NaN,,NaN,,,,NaN,NaN
2003,Robert Johnson,9.0,,278,4,33,18,115,7,4,18.0,148,12.0,20,NA,37,1.0,0.0
2003,Reno Mahe,0.0,,198,4,32,,109,7,4,NaN,,NaN,,,,NaN,NaN
2011,Jake Locker,10.0,,231,4,35,,120,6,4,34.0,8,12.0,3,25,90,0.0,7.0
2012,Danny Coale,0.0,,201,4,35,12,115,6,4,22.0,152,4.0,21,152,59,0.0,2.0
2012,Nick Provo,9.0,,237,4,,,,,,NaN,,NaN,,,,NaN,NaN
2013,Corey Fuller,0.0,,204,4,31,12,120,,,22.0,171,9.0,36,NA,37,1.0,0.0
2015,Duke Johnson,2.0,,207,4,33,,121,,,13.0,77,14.0,5,65,78,0.0,5.0
2017,Brian Allen,1.0,,215,4,34,15,117,6,4,16.0,204,11.0,NA,NA,NA,1.0,4.0
2019,Lj Scott,2.0,,227,,33,21,120,7,4,NaN,,NaN,,,,NaN,NaN
2003,Mike Scifres,15.0,,236,4,,,,,,197.0,149,26.0,NA,NA,NA,2.0,8.0
2005,Anthony Davis,2.0,,200,4,38,18,121,7,,0.0,37,18.0,NA,NA,NA,0.0,5.0
2008,Kellen Davis,9.0,,262,4,28,22,118,7,4,23.0,158,29.0,9,138,61,0.0,6.0
2009,Corvey Irvin,6.0,,301,4,24,24,97,7,4,NaN,,NaN,,,,1.0,1.0
2010,Donovan Warren,3.0,,193,4,,12,113,,,NaN,,NaN,,,,NaN,NaN
2013,Mike James,2.0,,223,4,35,28,115,,4,13.0,189,10.0,31,NA,30,0.0,5.0
2019,Christian Wilkins,17.0,,315,5,29,28,107,,4,5.0,13,24.0,3,7,92,1.0,1.0
2020,Juwan Johnson,0.0,,230,4,33,14,124,6,4,17.0,NA,0.0,31,183,52,NaN,NaN
2000,Marvel Smith,5.0,,320,5,27,24,100,7,4,36.0,38,5.0,NA,NA,NA,0.0,3.0
2002,Dennis Johnson,4.0,,258,4,35,17,119,7,4,0.0,92,3.0,NA,NA,NA,1.0,4.0
2004,Ran Carthon,2.0,,224,4,34,22,112,,4,NaN,,NaN,,,,NaN,NaN
2005,Jamar Enzor,7.0,,243,4,,21,,,,10.0,NA,0.0,15,196,55,NaN,NaN
2010,Tony Washington,5.0,,311,5,29,33,114,7,4,17.0,NA,0.0,20,233,42,NaN,NaN
2014,Richie Leone,15.0,,211,5,,,,,,NaN,,NaN,,,,NaN,NaN
2015,Ben Heeney,11.0,,231,4,33,19,120,6,4,86.0,140,31.0,11,271,37,1.0,4.0
2015,Nate Orchard,4.0,,250,4,31,,115,7,4,18.0,51,14.0,7,67,78,1.0,1.0
2015,Ryan Russell,4.0,,269,4,32,25,119,7,4,55.0,163,4.0,17,197,48,1.0,1.0
2017,Mike Williams,0.0,,218,,32,15,121,,,1.0,22,26.0,NA,NA,NA,0.0,6.0
2020,Jabari Zuniga,17.0,,264,4,33,29,127,,,4.0,79,18.0,8,76,74,1.0,1.0
2001,Elliott Carson,9.0,,246,4,36,16,115,7,4,NaN,,NaN,,,,NaN,NaN
2003,LaBrandon Toefield,2.0,,233,4,,19,,,,1.0,132,13.0,NA,NA,NA,0.0,5.0
2010,Marcus Easley,0.0,,210,4,34,16,123,6,4,69.0,107,2.0,18,NA,62,0.0,2.0
2010,Kerry Meier,0.0,,224,4,35,13,115,,4,86.0,165,19.0,36,NA,37,0.0,2.0
2011,Keith Williams,8.0,,318,5,24,23,93,8,5,154.0,159,19.0,NA,NA,NA,1.0,1.0
2017,Chidobe Awuzie,1.0,,202,4,34,16,132,6,4,28.0,60,4.0,8,49,83,1.0,0.0
2018,Marcell Ateman,0.0,,216,4,34,13,121,7,4,38.0,228,31.0,22,185,56,0.0,2.0
2019,Deshaun Davis,13.0,,234,,31,25,111,,4,21.0,210,7.0,14,225,51,1.0,4.0
2020,Tyler Biadasz,14.0,,314,,,,,,,64.0,146,4.0,3,89,71,0.0,3.0
2021,Chase Behrndt,14.0,,324,5,24,25,101,8,4,NaN,,NaN,,,,NaN,NaN
2021,Nahshon Wright,19.0,,183,4,31,6,126,7,4,59.0,99,4.0,34,272,34,1.0,0.0
2000,Carlos Nuno,9.0,,263,5,28,23,106,,,NaN,,NaN,,,,NaN,NaN
2007,Justin Durant,11.0,,230,4,36,25,121,6,4,112.0,48,13.0,5,67,79,1.0,4.0
2009,Gerald Cadogan,5.0,,309,4,25,26,95,8,4,10.0,NA,0.0,11,97,70,NaN,NaN
2009,Juaquin Iglesias,0.0,,210,4,34,,116,,4,11.0,99,29.0,14,111,66,0.0,2.0
2009,Hakeem Nicks,0.0,,212,4,36,,,,,30.0,29,25.0,3,22,91,0.0,2.0
2011,Daniel Kilgore,8.0,,308,5,32,23,105,7,4,98.0,163,1.0,22,NA,30,0.0,3.0
2014,Chris Davis,1.0,,202,4,,15,,,,2.0,128,12.0,19,149,60,0.0,2.0
2018,Darius Jackson,20.0,,242,4,26,21,113,7,,147.0,216,4.0,26,NA,30,0.0,5.0
2019,Germaine Pratt,13.0,,240,4,32,24,116,,,48.0,72,7.0,6,95,72,1.0,4.0
2021,Blake Haubeil,18.0,,233,,,,,,,3.0,NA,0.0,3,329,30,NaN,NaN
2021,Bruno Labelle,9.0,,247,4,36,19,123,7,4,NaN,,NaN,,,,NaN,NaN
2000,Destry Wright,2.0,,216,4,29,15,112,7,4,NaN,,NaN,,,,NaN,NaN
2001,Dwight Smith,1.0,,212,4,33,15,114,,,143.0,84,10.0,NA,NA,NA,1.0,0.0
2004,Josh Davis,2.0,,200,4,33,13,112,7,4,65.0,NA,0.0,19,136,65,NaN,NaN
2005,Alex Smith,9.0,,258,4,,28,,,,16.0,71,10.0,2,60,83,0.0,7.0
2006,Chad Greenway,7.0,,242,4,33,16,117,7,4,31.0,17,3.0,3,17,95,1.0,4.0
2014,Willie Snead,0.0,,195,4,33,11,113,7,4,110.0,NA,0.0,39,278,36,0.0,2.0
2016,Kenyan Drake,2.0,,210,4,34,10,123,7,4,6.0,73,24.0,7,98,70,0.0,5.0
2020,Collin Johnson,0.0,,222,,,17,,,,8.0,165,13.0,17,107,68,0.0,2.0
2000,Bubba Franks,9.0,,265,4,,,,,,57.0,14,15.0,NA,NA,NA,0.0,6.0
2007,Gijon Robinson,16.0,,255,4,33,21,116,7,4,168.0,NA,0.0,14,267,35,NaN,NaN
2009,Dan Gay,8.0,,308,5,22,18,86,8,5,41.0,NA,0.0,24,201,49,NaN,NaN
2010,Kurt Coleman,3.0,,192,4,,19,,,,3.0,244,8.0,18,NA,40,1.0,0.0
2015,Mike Davis,2.0,,217,4,34,17,116,7,4,26.0,126,1.0,11,119,65,1.0,0.0
2017,Hayden Hunt,15.0,,212,,,,,,,NaN,,NaN,,,,NaN,NaN
2019,Dennis Daley,5.0,,317,5,26,20,103,7,4,26.0,212,20.0,17,167,60,0.0,3.0
2019,Carl Granderson,20.0,,254,4,35,,119,7,4,97.0,NA,0.0,21,229,51,NaN,NaN
2002,Tony Fisher,2.0,,226,4,41,21,126,7,4,NaN,,NaN,,,,NaN,NaN
2004,D.J. Williams,7.0,,250,4,,,,,,13.0,17,21.0,1,19,93,1.0,4.0
2007,Zach Latimer,11.0,,237,4,34,19,109,7,4,11.0,NA,0.0,13,293,31,NaN,NaN
2013,Matt Scott,10.0,,213,4,31,,118,6,3,53.0,NA,0.0,9,103,71,NaN,NaN
2020,Justin Strnad,13.0,,238,4,29,,113,,4,67.0,178,21.0,12,174,54,1.0,4.0
2000,Erik Flowers,4.0,,271,4,33,24,114,7,4,36.0,26,2.0,NA,NA,NA,1.0,1.0
2002,Rocky Bernard,6.0,,294,4,33,30,108,7,4,15.0,146,17.0,NA,NA,NA,1.0,1.0
2002,Nick Murphy,15.0,,188,4,,,,,,NaN,,NaN,,,,NaN,NaN
2007,Matt Toeaina,6.0,,307,5,,26,,,,17.0,187,7.0,18,221,44,1.0,1.0
2011,Jimmy Smith,1.0,,211,4,36,24,123,6,4,28.0,27,6.0,3,18,92,1.0,0.0
2012,Charles Mitchell,3.0,,202,4,37,19,127,6,4,19.0,192,19.0,9,148,59,1.0,0.0
2013,Zach Ertz,9.0,,249,4,30,24,111,7,4,16.0,35,8.0,2,35,88,0.0,6.0
2014,Bradley Roby,1.0,,194,4,38,17,124,,4,3.0,31,21.0,5,26,89,1.0,0.0
2017,Jaleel Johnson,6.0,,316,5,28,19,100,7,4,31.0,109,3.0,9,109,71,1.0,1.0
2018,Kolton Miller,5.0,,309,4,31,24,121,7,4,29.0,15,31.0,2,30,87,0.0,3.0
2019,J.J. Arcega-Whiteside,0.0,,225,,,,,,,NaN,,NaN,,,,NaN,NaN
2002,Adam Wulfeck,15.0,,228,4,,,,,,NaN,,NaN,,,,NaN,NaN
2003,Antwan Peek,7.0,,246,4,37,21,125,7,4,70.0,67,30.0,NA,NA,NA,1.0,4.0
2003,Onterrio Smith,2.0,,220,4,,19,,,,17.0,105,3.0,NA,NA,NA,0.0,5.0
2004,Jared Clauss,6.0,,294,4,,23,,,,31.0,230,12.0,33,NA,30,1.0,1.0
2008,Tim Bugg,21.0,,257,5,,17,,,,NaN,,NaN,,,,NaN,NaN
2008,Jo-Lonn Dunbar,11.0,,231,4,27,19,112,,,NaN,,NaN,,,,NaN,NaN
2008,Darrell Robertson,4.0,,255,4,,,,,,56.0,NA,0.0,13,110,67,NaN,NaN
2013,Damontre Moore,4.0,,250,4,35,12,122,,,15.0,81,25.0,7,56,82,1.0,1.0
2013,Matt Stankiewitch,12.0,,302,5,24,27,92,7,4,NaN,,NaN,,,,NaN,NaN
2014,Antonio Andrews,2.0,,225,4,29,20,106,7,4,94.0,NA,0.0,27,305,32,NaN,NaN
2020,Jeff Okudah,1.0,,205,4,41,11,135,,,3.0,3,9.0,1,5,94,1.0,0.0
2021,Rhamondre Stevenson,2.0,,231,4,31,15,112,7,4,138.0,120,22.0,6,110,70,0.0,5.0
2001,Robert Ferguson,0.0,,205,4,36,,120,7,4,15.0,41,15.0,NA,NA,NA,0.0,2.0
2002,Najeh Davenport,16.0,,248,4,,,,,,13.0,135,15.0,NA,NA,NA,0.0,5.0
2002,Julius Peppers,4.0,,283,4,,,,,,30.0,2,20.0,NA,NA,NA,1.0,1.0
2003,Chris Clemons,7.0,,236,4,35,18,116,7,4,5.0,165,24.0,8,121,63,1.0,0.0
2008,Thomas Brown,2.0,,204,4,36,25,128,7,,7.0,172,19.0,14,137,61,1.0,1.0
2010,Stafon Johnson,2.0,,214,4,35,13,118,,,NaN,,NaN,,,,NaN,NaN
2013,Shamarko Thomas,3.0,,213,4,40,28,133,,4,27.0,111,5.0,6,79,76,1.0,0.0
2020,Kendall Coleman,17.0,,257,4,32,,114,7,4,NaN,,NaN,,,,NaN,NaN
2021,Jonathon Cooper,4.0,,253,4,33,28,108,6,4,3.0,239,21.0,26,300,31,1.0,1.0
2021,Jaelan Phillips,17.0,,260,4,36,21,125,,,13.0,18,24.0,2,21,90,1.0,1.0
2000,Michael Thompson,5.0,,305,5,26,16,104,7,4,84.0,100,19.0,NA,NA,NA,0.0,3.0
2005,Kerry Rhodes,3.0,,209,4,42,12,123,6,4,33.0,123,18.0,12,145,63,1.0,0.0
2005,Ryan Riddle,4.0,,256,4,,18,,,,35.0,212,31.0,11,130,67,1.0,1.0
2017,Will Holden,5.0,,311,5,28,23,111,7,4,68.0,157,16.0,9,131,66,0.0,3.0
2019,Jalin Moore,2.0,,212,,,27,,,,98.0,NA,0.0,18,230,51,NaN,NaN
2022,Myron Tagovailoa-Amosa,4.0,,270,4,29,,115,,,NaN,,NaN,,,,NaN,NaN
2000,Rob Riti,12.0,,293,5,29,17,106,,,NaN,,NaN,,,,NaN,NaN
2001,Derrick Chambers,6.0,,299,4,,32,,,,NaN,,NaN,,,,NaN,NaN
2001,Javon Green,0.0,,211,4,35,,113,7,4,NaN,,NaN,,,,NaN,NaN
2001,Tommy Polley,7.0,,234,4,,,,,,2.0,42,32.0,NA,NA,NA,1.0,4.0
2003,Al Johnson,12.0,,305,4,,,,,,32.0,38,4.0,NA,NA,NA,0.0,3.0
2003,Dustin Rykert,5.0,,327,5,26,21,92,8,4,61.0,204,31.0,NA,NA,NA,0.0,3.0
2004,Jared Lorenzen,10.0,,288,5,,,,,,NaN,,NaN,,,,NaN,NaN
2004,Jeff Shoate,1.0,,189,4,36,12,121,7,3,60.0,152,21.0,26,256,44,1.0,0.0
2005,Chris Henry,0.0,,197,4,,,,,,53.0,50,12.0,7,84,75,0.0,5.0
2006,Tim Massaquoi,9.0,,259,4,,32,,,,14.0,244,10.0,17,NA,38,0.0,6.0
2007,Prescott Burgess,7.0,,240,4,32,19,106,7,4,14.0,207,6.0,17,193,50,1.0,4.0
2011,Chris Conte,3.0,,197,4,35,18,127,7,4,NaN,,NaN,,,,1.0,0.0
2013,David Bakhtiari,5.0,,299,5,25,28,101,7,4,28.0,109,15.0,8,100,72,0.0,3.0
2017,Ryan Ramczyk,5.0,,310,,,25,,,,64.0,32,28.0,2,30,88,0.0,3.0
2020,Rob Windsor,17.0,,290,4,28,21,111,7,4,NaN,,NaN,,,,NaN,NaN
2021,Malcolm Koonce,4.0,,249,,,,,,,119.0,79,36.0,20,191,53,1.0,1.0
2000,James Williams,0.0,,180,4,36,,123,7,4,58.0,NA,0.0,27,286,41,1.0,1.0
2004,Derrick Hamilton,0.0,,196,4,,,,,,5.0,77,1.0,13,83,76,0.0,2.0
2006,Ryan Cook,5.0,,328,5,26,28,97,7,4,101.0,51,3.0,5,NA,59,0.0,3.0
2009,Anthony Hill,9.0,,262,4,30,21,107,7,4,48.0,122,30.0,10,149,59,0.0,6.0
2014,Christian Kirksey,7.0,,233,4,32,16,122,,,NaN,,NaN,,,,1.0,4.0
2015,Terrence Magee,2.0,,213,4,37,22,115,7,4,1.0,NA,0.0,14,169,51,NaN,NaN
2016,Kyle Murphy,5.0,,305,5,,23,,,,16.0,200,15.0,13,166,58,0.0,3.0
2020,Rashard Lawrence II,17.0,,308,5,,22,,8,,NaN,,NaN,,,,NaN,NaN
2021,Justin Henderson,2.0,,220,4,32,26,118,7,4,NaN,,NaN,,,,NaN,NaN
2021,Patrick Johnson,4.0,,240,4,35,16,119,6,4,17.0,42,6.0,NA,NA,NA,0.0,2.0
2021,Forrest Merrill,17.0,,322,5,26,36,101,8,4,90.0,NA,0.0,15,227,41,NaN,NaN
2022,Daxton Hill,3.0,,191,4,33,,121,6,4,NaN,,NaN,,,,NaN,NaN
2000,Boo Williams,2.0,,222,4,,,,,,NaN,,NaN,,,,NaN,NaN
2004,Matt Ware,3.0,,209,4,,15,,,,29.0,89,8.0,7,56,82,1.0,0.0
2006,Ed Hinkel,0.0,,190,4,34,,116,6,4,NaN,,NaN,,,,NaN,NaN
2015,Marcus Hardison,6.0,,307,4,,27,,,,36.0,135,7.0,10,116,66,1.0,1.0
2017,Antonio Garcia,5.0,,302,5,31,24,108,7,4,104.0,85,22.0,5,82,75,0.0,3.0
2019,Lamont Gaillard,14.0,,305,,,,,,,7.0,179,16.0,4,185,58,0.0,3.0
2004,Tatum Bell,2.0,,212,4,38,25,117,,,38.0,41,21.0,6,76,78,0.0,5.0
2005,Lynn McGruder,6.0,,307,5,35,28,112,7,4,11.0,NA,0.0,12,161,61,NaN,NaN
2010,Chris Scott,8.0,,319,5,22,19,90,8,5,20.0,151,5.0,7,NA,59,0.0,3.0
2010,Mike Williams,0.0,,221,4,33,8,116,6,4,27.0,101,10.0,16,NA,67,1.0,4.0
2012,Steven Johnson,7.0,,239,4,36,16,113,7,4,NaN,,NaN,,,,NaN,NaN
2012,DeQuan Menzie,1.0,,202,4,33,,116,,,NaN,,NaN,,,,1.0,0.0
2012,Mitchell Schwartz,5.0,,318,5,26,23,89,7,4,35.0,37,14.0,7,65,81,0.0,3.0
2013,Phillip Thomas,3.0,,208,4,35,14,122,,,43.0,119,23.0,7,97,72,1.0,0.0
2014,Preston Brown,11.0,,251,4,33,23,116,6,4,33.0,73,2.0,3,113,65,1.0,4.0
2014,Xavier Su'a-Filo,8.0,,307,5,25,25,102,7,4,29.0,33,30.0,1,34,88,0.0,3.0
2020,James Proche,0.0,,201,,34,20,,7,4,103.0,201,6.0,28,164,55,0.0,2.0
2022,Ahmad Gardner,1.0,,190,4,,,,,,NaN,,NaN,,,,NaN,NaN
2022,Zonovan Knight,2.0,,209,4,31,,114,,,NaN,,NaN,,,,NaN,NaN
2006,Roman Harper,3.0,,198,4,,19,,,,6.0,43,28.0,10,108,69,1.0,0.0
2012,Jeff Fuller,0.0,,223,4,,17,,,,15.0,139,1.0,NA,NA,NA,1.0,0.0
2018,Kamrin Moore,1.0,,200,,,,,,,42.0,189,28.0,30,207,51,1.0,0.0
2019,Quinnen Williams,17.0,,303,4,30,,112,,,6.0,3,18.0,1,2,95,1.0,1.0
2020,Simon Stepaniak,14.0,,313,,,37,,,,85.0,209,15.0,25,304,31,0.0,3.0
2000,Deltha O'Neal,1.0,,193,4,,,,,,35.0,15,21.0,NA,NA,NA,1.0,0.0
2007,David Ball,0.0,,196,4,,,,6,4,195.0,NA,0.0,28,234,41,NaN,NaN
2008,Jamaal Charles,2.0,,200,4,30,,122,6,4,8.0,73,27.0,6,45,86,0.0,5.0
2014,Kenny Ladler,3.0,,207,4,36,24,127,,,68.0,NA,0.0,22,285,34,NaN,NaN
2022,John Ridgeway,6.0,,321,5,,,101,,4,NaN,,NaN,,,,NaN,NaN
2003,Nnamdi Asomugha,1.0,,213,4,37,16,124,,,35.0,31,31.0,NA,NA,NA,1.0,0.0
2004,Cols Colas,7.0,,233,4,34,22,118,,,NaN,,NaN,,,,NaN,NaN
2004,Chris Thompson,1.0,,189,4,35,12,117,7,4,136.0,150,13.0,16,114,67,0.0,5.0
2007,Mike Jones,8.0,,309,5,25,28,98,7,4,84.0,159,3.0,NA,NA,NA,0.0,6.0
2008,Dorien Bryant,0.0,,174,4,,,119,6,4,NaN,,NaN,,,,NaN,NaN
2012,Davin Meggett,2.0,,211,4,35,23,118,7,4,40.0,NA,0.0,20,228,40,NaN,NaN
2017,Xavier Woods,3.0,,197,4,33,19,122,6,4,87.0,191,4.0,32,NA,30,1.0,0.0
2022,Drake London,0.0,,219,,,,,,,NaN,,NaN,,,,NaN,NaN
2013,Johnathan Hankins,6.0,,320,5,26,,104,7,4,3.0,49,25.0,9,68,78,1.0,1.0
2016,Devontae Booker,2.0,,219,4,,22,,,,18.0,136,21.0,4,85,74,0.0,5.0
2018,James Daniels,12.0,,306,,30,21,108,7,4,15.0,180,31.0,NA,NA,NA,0.0,3.0
2018,Harrison Phillips,6.0,,307,5,32,42,103,7,4,16.0,96,2.0,4,43,85,1.0,1.0
2019,Nyqwan Murray,0.0,,191,4,34,8,113,7,4,2.0,NA,0.0,30,237,50,NaN,NaN
2001,Shaunard Harts,3.0,,200,4,34,12,119,7,,54.0,212,27.0,NA,NA,NA,1.0,0.0
2003,Nick Barnett,7.0,,236,4,34,32,123,7,4,59.0,29,15.0,NA,NA,NA,1.0,4.0
2005,Marcus Spears,4.0,,307,5,,,,,,1.0,20,4.0,2,15,94,0.0,3.0
2020,Chapelle Russell,13.0,,236,4,35,21,121,7,4,78.0,241,10.0,14,211,46,1.0,4.0
2021,Tylan Wallace,0.0,,194,4,33,11,112,6,4,38.0,131,6.0,12,75,76,0.0,2.0
2001,Orlando Huff,7.0,,245,4,,16,,,,43.0,104,17.0,NA,NA,NA,1.0,4.0
2003,Montrae Holland,8.0,,333,5,,30,,8,5,2.0,102,28.0,NA,NA,NA,0.0,3.0
2004,Marquis Cooper,7.0,,223,4,36,25,121,7,4,34.0,79,10.0,9,136,64,1.0,4.0
2004,Scott Wells,12.0,,300,5,31,31,109,7,4,20.0,251,15.0,5,163,59,0.0,3.0
2006,Brandon Williams,0.0,,179,4,34,,115,6,4,44.0,120,4.0,11,83,72,1.0,1.0
2007,Aundrae Allison,0.0,,198,4,37,,127,,,73.0,146,3.0,11,72,77,0.0,2.0
2007,Jacob Ford,4.0,,249,4,,19,,,,223.0,204,12.0,19,194,50,1.0,1.0
2009,Emanuel Cook,3.0,,197,4,35,18,116,,,26.0,NA,0.0,9,131,61,NaN,NaN
2009,Tiquan Underwood,0.0,,184,4,41,7,129,6,4,66.0,253,13.0,28,223,46,0.0,2.0
2009,Brandon Williams,4.0,,261,4,33,,112,7,4,15.0,92,16.0,38,337,32,1.0,1.0
2019,D'Cota Dixon,3.0,,204,4,33,20,119,,,64.0,NA,0.0,25,253,47,NaN,NaN
2021,Amon-Ra St. Brown,0.0,,197,4,38,20,127,6,4,0.0,112,9.0,21,133,66,0.0,2.0
2001,Michael Keathley,8.0,,308,5,32,28,,,,NaN,,NaN,,,,NaN,NaN
2003,Alonzo Jackson,4.0,,266,4,37,14,114,7,4,2.0,59,5.0,NA,NA,NA,1.0,4.0
2005,Eric Moore,4.0,,262,4,29,22,108,7,4,2.0,186,25.0,19,213,52,1.0,1.0
2009,Clay Matthews,7.0,,240,4,35,23,121,6,4,0.0,26,15.0,3,21,91,1.0,4.0
2009,Louie Sakoda,18.0,,176,4,,,,,,10.0,NA,0.0,2,208,48,NaN,NaN
2011,Curtis Marsh,1.0,,197,4,37,12,123,6,4,80.0,90,8.0,20,132,64,0.0,2.0
2012,Travis Benjamin,0.0,,172,4,38,14,119,,,13.0,100,14.0,27,174,52,0.0,2.0
2013,Nick Kasa,9.0,,269,4,31,22,113,,,28.0,172,31.0,14,233,46,0.0,6.0
2018,Deon Cain,0.0,,202,4,33,11,115,6,4,5.0,185,11.0,12,107,70,0.0,2.0
2019,Cody Thompson,0.0,,205,4,38,19,119,6,4,93.0,NA,0.0,44,327,36,NaN,NaN
2020,Troy Dye,13.0,,231,,,,,,,17.0,132,3.0,4,78,74,1.0,4.0
2021,Dicaprio Bootle,1.0,,180,4,36,16,126,6,4,NaN,,NaN,,,,NaN,NaN
2021,Dorian Etheridge,13.0,,233,4,35,,121,7,4,NaN,,NaN,,,,NaN,NaN
2000,Austin Wheatley,9.0,,254,4,32,,121,6,4,31.0,158,28.0,NA,NA,NA,0.0,6.0
2001,Brian Allen,7.0,,238,4,,25,,,,23.0,111,34.0,7,197,53,0.0,5.0
2002,Levar Fisher,7.0,,233,4,31,,110,7,,10.0,49,16.0,NA,NA,NA,1.0,4.0
2004,Tank Johnson,6.0,,304,4,34,31,114,7,4,NaN,,NaN,,,,1.0,1.0
2021,Avery Williams,1.0,,187,4,33,19,121,6,4,54.0,183,19.0,NA,NA,NA,1.0,0.0
2001,Rodney Crayton,1.0,,178,4,35,13,118,7,4,NaN,,NaN,,,,NaN,NaN
2001,Randy Garner,4.0,,277,4,,,,,,25.0,167,19.0,NA,NA,NA,1.0,1.0
2003,Kevin Williams,4.0,,304,4,30,23,112,7,5,38.0,87,18.0,NA,NA,NA,0.0,2.0
2006,Dominique Byrd,9.0,,255,4,,,,,,0.0,93,32.0,6,75,78,0.0,6.0
2010,Brandon Carter,8.0,,329,5,24,22,102,7,4,NaN,,NaN,,,,NaN,NaN
2020,Patrick Queen,13.0,,229,4,35,18,125,,,1.0,28,6.0,1,21,90,1.0,4.0
2021,Dayo Odeyingbo,17.0,,276,,,,,,,68.0,54,11.0,10,109,70,1.0,1.0
2022,D'Eriq King,10.0,,196,,,,,,,NaN,,NaN,,,,NaN,NaN
2000,Jabari Issa,6.0,,296,5,31,19,105,7,4,34.0,176,16.0,NA,NA,NA,1.0,1.0
2001,Rick Crowell,7.0,,242,5,31,19,109,7,4,81.0,188,24.0,NA,NA,NA,1.0,4.0
2007,Mike Mason,0.0,,190,4,39,,129,6,4,84.0,NA,0.0,34,287,32,NaN,NaN
2007,Samson Satele,12.0,,300,5,33,25,101,7,4,74.0,60,24.0,2,75,77,0.0,3.0
2008,Peyton Hillis,16.0,,240,4,30,26,117,7,,25.0,227,21.0,2,NA,53,0.0,5.0
2008,Jeff Otah,5.0,,322,5,22,27,102,,,46.0,19,20.0,4,18,93,0.0,3.0
2009,Graham Harrell,10.0,,223,4,29,,98,7,4,44.0,NA,0.0,11,236,43,NaN,NaN
2010,Kyle Williams,0.0,,188,4,33,11,118,7,4,1.0,134,2.0,8,77,77,0.0,2.0
2017,Ricky Seals-Jones,0.0,,243,4,28,17,121,7,4,15.0,NA,0.0,47,269,39,NaN,NaN
2018,Nick Nelson,1.0,,208,4,,17,123,,,64.0,110,31.0,11,85,73,1.0,0.0
2021,Tyree Thompson,13.0,,229,5,31,18,109,7,4,NaN,,NaN,,,,NaN,NaN
2000,James Williams,0.0,,180,4,36,,123,7,4,43.0,16,2.0,NA,NA,NA,0.0,2.0
2002,Randy Fasani,10.0,,224,4,31,,106,6,3,16.0,137,20.0,NA,NA,NA,0.0,7.0
2006,Jason Avant,0.0,,212,4,37,20,118,,,14.0,109,8.0,9,90,73,0.0,2.0
2009,Lendy Holmes,3.0,,206,4,32,16,112,7,4,NaN,,NaN,,,,NaN,NaN
2009,Tim Jamison,4.0,,256,4,30,21,107,7,4,10.0,NA,0.0,17,189,50,NaN,NaN
2012,George Iloka,3.0,,225,4,34,20,124,7,4,54.0,167,7.0,6,118,66,1.0,0.0
2015,Danny Shelton,6.0,,339,5,30,34,95,7,4,34.0,12,14.0,1,14,90,1.0,1.0
2017,Danny Isidora,8.0,,306,5,29,26,94,8,4,13.0,180,3.0,12,214,48,0.0,3.0
2019,Greg Little,5.0,,310,5,25,,113,,4,30.0,59,14.0,7,58,81,0.0,3.0
