year,player_0,pos,weight_0,forty,vertical,bench,broad,threecone,shuttle,school_abbr,overall,team_abbr,pos_rk,ovr_rk,grade,side,category,Height
2000,John Abraham,0.31675570590773955,0.22954217818264497,-0.5487234255062087,NaN,NaN,NaN,NaN,NaN,26.0,13,18.0,NA,NA,NA,1.0,1.0,0.5413140715549035
2000,Shaun Alexander,-0.6804919094432313,-0.4955993205698104,-0.5487234255062087,NaN,NaN,NaN,NaN,NaN,6.0,19,17.0,NA,NA,NA,0.0,5.0,-0.30246233207820783
2000,Darnell Alford,-0.08214334023264881,1.978412851644449,1.818012488065047,-1.8948073797077571,0.3593058947641604,-2.236667701886585,2.1700450768581128,0.03129733463879617,42.0,188,27.0,NA,NA,NA,0.0,3.0,0.5413140715549035
2000,Kyle Allamon,0.7156547520481279,0.25086986932242306,-0.5487234255062087,-0.9202817188974561,NaN,-1.1503598561837045,0.4008831236105772,0.03129733463879617,NaN,,NaN,,,,NaN,NaN,0.11942586973834786
2000,Rashard Anderson,-0.8799414325134255,-0.7515316142471475,-0.5487234255062087,0.2978753571154201,NaN,0.913625050651768,0.4008831236105772,0.03129733463879617,135.0,23,20.0,NA,NA,NA,1.0,0.0,0.11942586973834786
2000,Jake Arians,2.5107004596798754,-0.8368423788062599,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,,NaN,NaN,-0.7243505338947634
2000,LaVar Arrington,0.31675570590773955,0.18688679590308876,-0.5487234255062087,NaN,NaN,NaN,NaN,NaN,12.0,2,23.0,NA,NA,NA,1.0,4.0,0.3303699706466257
2000,Corey Atkins,0.31675570590773955,-0.09037318891402651,-0.5487234255062087,-0.43301888849230563,0.05441875721849966,-0.2813135796214003,0.4008831236105772,0.03129733463879617,NaN,,NaN,,,,NaN,NaN,-0.30246233207820783
2000,Kyle Atteberry,2.5107004596798754,-1.5833115686984933,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,,NaN,NaN,-0.30246233207820783
2000,Reggie Austin,-0.8799414325134255,-1.4126900395802686,-0.5487234255062087,0.5415067723179954,-0.5553555178728219,0.4791019123706159,0.4008831236105772,0.03129733463879617,67.0,125,29.0,NA,NA,NA,1.0,0.0,-0.9352946348030413
2000,John Baker,1.9123518904692927,-0.3036501003118075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,,NaN,NaN,0.3303699706466257
2000,Mark Baniewicz,-0.08214334023264881,1.5092036465693308,1.818012488065047,-1.1639131341000313,-0.09802481155433072,-2.019406132746009,0.4008831236105772,0.03129733463879617,27.0,247,13.0,NA,NA,NA,0.0,3.0,0.9632022733714592
2000,Rashidi Barnes,-0.48104238637303715,-0.7088762319675913,-0.5487234255062087,0.5415067723179954,-1.6224604992826346,-0.06405201048082426,-1.3682788296369581,0.03129733463879617,28.0,225,14.0,NA,NA,NA,1.0,0.0,-0.30246233207820783
2000,David Barrett,-0.8799414325134255,-0.9008254522255943,-0.5487234255062087,1.0287696027231459,-0.7077990866456523,0.1532095586597518,-1.3682788296369581,0.03129733463879617,25.0,102,16.0,NA,NA,NA,1.0,0.0,-0.7243505338947634
2000,William Bartee,-0.8799414325134255,-1.0501192902040408,-0.5487234255062087,1.2724010179257212,NaN,1.022255835222056,-1.3682788296369581,-4.16957143922346,11.0,54,27.0,NA,NA,NA,1.0,0.0,-0.09151823116992998
2000,Andrew Bayes,1.9123518904692927,-0.8794977610858161,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,,NaN,NaN,0.11942586973834786
2000,Terrance Beadles,0.5162052289779337,1.5092036465693308,1.818012488065047,NaN,1.2739673074011428,NaN,NaN,NaN,NaN,,NaN,,,,NaN,NaN,0.3303699706466257
2000,Robert Bean,-0.8799414325134255,-1.3487069661609343,-0.5487234255062087,0.2978753571154201,NaN,0.8049942660814801,-1.3682788296369581,0.03129733463879617,19.0,133,7.0,NA,NA,NA,1.0,0.0,-0.5134064329864857
2000,Anthony Becht,0.7156547520481279,0.6134406186986507,-0.5487234255062087,0.05424394191284489,NaN,0.913625050651768,-1.3682788296369581,0.03129733463879617,39.0,27,18.0,NA,NA,NA,0.0,6.0,0.9632022733714592
2000,Matt Beck,1.1145537981885163,-0.1543562623333608,-0.5487234255062087,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,,,NaN,NaN,0.3303699706466257
2000,Rogers Beckett,-0.48104238637303715,-0.7302039231073695,-0.5487234255062087,1.5160324331282964,-0.8602426554184827,0.4791019123706159,-1.3682788296369581,0.03129733463879617,65.0,43,26.0,NA,NA,NA,1.0,0.0,-0.09151823116992998
2000,Brad Bedell,0.5162052289779337,1.2959267351715498,1.818012488065047,-0.43301888849230563,-0.5553555178728219,-1.2589906407539926,0.4008831236105772,0.03129733463879617,28.0,206,14.0,NA,NA,NA,0.0,3.0,0.5413140715549035
2000,Marcus Bell,1.1145537981885163,-0.09037318891402651,-0.5487234255062087,-0.43301888849230563,0.05441875721849966,-0.3899443641916884,0.4008831236105772,0.03129733463879617,76.0,123,16.0,NA,NA,NA,1.0,1.0,-0.09151823116992998
2000,Marcus Bell,1.1145537981885163,-0.09037318891402651,-0.5487234255062087,-0.43301888849230563,0.05441875721849966,-0.3899443641916884,0.4008831236105772,0.03129733463879617,76.0,123,16.0,NA,NA,NA,1.0,1.0,0.11942586973834786
