Player,Pos,Ht,Wt,Forty,Vertical,BenchReps,BroadJump,Cone,Shuttle,Year,Team,Round,Pick,side,category,pos_abbr,school_abbr,overall,pos_rk,ovr_rk,grade
Nick O'Toole,14.0,75,219,5.05,,,,,,2016,NaN,,,NaN,NaN,NaN,NaN,,,,
Christian Kirk,0.0,70,201,4.47,35.5,20.0,115.0,7.09,4.45,2018,NaN,,,0.0,3.0,0.0,17.0,47,3,42,85
Lendy Holmes,11.0,72,206,4.65,32.0,16.0,112.0,7.28,4.32,2009,NaN,,,NaN,NaN,NaN,NaN,,,,
Jonathan Dowling,11.0,75,190,4.52,33.5,8.0,118.0,7.04,4.24,2014,23.0,7,247,1.0,0.0,12.0,91.0,NA,14,208,46
Joe Adams,0.0,71,179,4.51,36.0,,123.0,7.09,,2012,9.0,4,104,0.0,7.0,0.0,21.0,104,9,78,76
Ryan Hannam,9.0,74,251,4.69,30.5,18.0,113.0,7.07,4.21,2002,0.0,5,169,0.0,6.0,8.0,106.0,169,NA,NA,NA
James Jones,0.0,73,207,4.54,34.0,22.0,119.0,7.06,4.2,2007,5.0,3,78,0.0,3.0,1.0,4.0,13,NA,NA,NA
Antwuan Reed,1.0,70,188,4.58,36.5,14.0,124.0,,4.2,2012,NaN,,,NaN,NaN,NaN,NaN,,,,
Ron Johnson,0.0,74,225,4.7,34.5,,118.0,7.12,4.02,2002,1.0,4,123,0.0,3.0,0.0,57.0,123,NA,NA,NA
Tim Williams,6.0,75,244,4.68,33.5,,124.0,7.36,4.57,2017,1.0,3,78,1.0,0.0,10.0,6.0,78,5,60,80
Allen Reisner,15.0,74,248,4.9,28.0,14.0,108.0,7.31,4.59,2011,NaN,,,NaN,NaN,8.0,0.0,NA,18,285,33
Shaquelle Evans,0.0,73,213,4.51,34.5,13.0,122.0,7.07,4.21,2014,25.0,4,115,0.0,3.0,NaN,NaN,,,,
D.J. Ware,2.0,72,225,4.61,,21.0,,,,2007,NaN,,,NaN,NaN,NaN,NaN,,,,
Courtney Brown,3.0,77,269,4.78,,,,,,2000,2.0,1,1,1.0,1.0,5.0,118.0,212,21,157,59
Brian Robiskie,0.0,75,209,4.46,37.5,,,6.72,4.19,2009,2.0,2,36,0.0,3.0,0.0,2.0,36,10,72,77
Brian Orakpo,3.0,75,263,4.63,39.5,31.0,,,,2009,28.0,1,13,1.0,4.0,2.0,16.0,13,2,9,95
Billy Price,13.0,76,305,,,,,,,2018,NaN,,,0.0,2.0,18.0,2.0,21,3,33,86
Vincent Taylor,5.0,75,304,5.07,28.5,26.0,108.0,7.58,4.72,2017,18.0,6,194,1.0,1.0,4.0,33.0,194,15,151,60
Jonas Crafts,9.0,75,247,4.89,,24.0,,,,2005,NaN,,,NaN,NaN,8.0,84.0,NA,17,273,42
Adam Terry,4.0,80,330,5.4,28.0,,96.0,7.89,4.78,2005,1.0,2,64,0.0,2.0,3.0,48.0,64,5,57,84
Oday Aboushi,4.0,77,308,5.41,23.5,17.0,100.0,7.92,4.84,2013,25.0,5,141,0.0,2.0,7.0,41.0,141,9,140,62
Gary Russell,2.0,70,229,4.77,31.5,9.0,113.0,,4.54,2007,NaN,,,NaN,NaN,NaN,NaN,,,,
Leonard Fournette,2.0,72,240,4.51,28.5,,,,,2017,20.0,1,4,0.0,5.0,1.0,1.0,4,1,4,93
Josh Sweat,18.0,76,251,4.53,39.5,,124.0,,4.28,2018,NaN,,,1.0,1.0,2.0,5.0,130,5,72,77
Calvin Dawson,2.0,68,199,4.5,,,,,,2008,NaN,,,NaN,NaN,NaN,NaN,,,,
Bryan Thomas,3.0,76,266,4.47,34.5,33.0,,,,2002,25.0,1,22,1.0,1.0,1.0,39.0,132,NA,NA,NA
Brandon Linder,7.0,78,311,5.35,26.5,30.0,100.0,,,2014,20.0,3,93,0.0,2.0,7.0,8.0,93,8,154,56
Efrem Hill,0.0,72,179,4.58,37.5,,124.0,7.42,4.07,2005,NaN,,,NaN,NaN,0.0,135.0,NA,39,318,34
Leonard Peters,11.0,73,210,4.8,32.5,21.0,110.0,7.49,,2007,NaN,,,NaN,NaN,NaN,NaN,,,,
Rod Gardner,0.0,74,219,4.48,,,,,,2001,28.0,1,15,0.0,3.0,0.0,14.0,15,NA,NA,NA
DeMario Pressley,5.0,75,301,5.09,25.5,28.0,100.0,,,2008,27.0,5,144,1.0,1.0,4.0,43.0,144,10,100,70
D.J. Foster,0.0,70,193,4.57,35.5,14.0,117.0,6.75,4.07,2016,NaN,,,NaN,NaN,0.0,29.0,NA,31,216,49
Deuce Lutui,7.0,76,334,5.35,28.0,26.0,97.0,8.04,4.76,2006,11.0,2,41,0.0,2.0,7.0,3.0,41,3,59,83
Lofa Tatupu,10.0,72,238,4.83,35.0,23.0,113.0,7.31,4.16,2005,0.0,2,45,1.0,4.0,9.0,3.0,45,6,137,65
Bennie Fowler,0.0,73,217,4.52,36.0,,126.0,7.06,4.18,2014,NaN,,,NaN,NaN,0.0,31.0,NA,41,300,33
Darcel McBath,11.0,72,198,4.53,38.0,14.0,119.0,6.8,4.16,2009,13.0,2,48,1.0,0.0,12.0,63.0,48,6,101,69
Kenneth Pettway,6.0,75,236,4.69,32.5,22.0,114.0,7.29,4.31,2005,16.0,7,227,1.0,1.0,9.0,87.0,227,22,341,31
Marcus Thomas-01,5.0,75,314,5.23,,27.0,,,,2007,13.0,4,121,NaN,NaN,NaN,NaN,,,,
Adrian Hubbard,6.0,78,257,4.69,38.5,,117.0,,,2014,NaN,,,NaN,NaN,10.0,6.0,NA,9,104,67
Ron Edwards,5.0,75,293,4.86,,,,,,2001,7.0,3,76,1.0,1.0,4.0,17.0,76,NA,NA,NA
Jarrett Payton,2.0,72,220,4.66,31.0,,115.0,7.34,4.31,2004,NaN,,,NaN,NaN,NaN,NaN,,,,
Howard Wilson,1.0,73,184,4.57,33.5,,119.0,6.68,3.94,2017,2.0,4,126,1.0,0.0,6.0,78.0,126,18,133,66
Kevin Curtis-01,11.0,74,212,4.53,37.5,24.0,124.0,6.75,3.88,2002,4.0,4,127,NaN,NaN,NaN,NaN,,,,
Guy Whimper,4.0,77,304,4.96,29.0,26.0,102.0,7.38,4.59,2006,30.0,4,129,1.0,1.0,3.0,77.0,129,9,119,67
Robert Alford,1.0,70,188,4.39,40.0,17.0,132.0,6.89,4.23,2013,21.0,2,60,1.0,0.0,6.0,136.0,60,10,67,78
Jason Brown,13.0,75,313,5.4,30.5,23.0,105.0,7.72,4.51,2005,1.0,4,124,0.0,2.0,14.0,28.0,124,4,102,71
Dexter McDougle,1.0,70,196,4.47,,,,,,2014,25.0,3,80,1.0,0.0,NaN,NaN,,,,
Antonio Coleman,6.0,73,255,4.76,,18.0,113.0,,,2010,NaN,,,NaN,NaN,NaN,NaN,,,,
Jamaal Anderson,3.0,77,288,4.75,,,,,,2007,21.0,1,8,1.0,1.0,2.0,21.0,8,2,11,95
Tyrone Goard,0.0,76,205,4.5,36.0,10.0,123.0,6.9,4.39,2013,NaN,,,NaN,NaN,NaN,NaN,,,,
Marcus Cannon,4.0,77,358,5.26,30.5,33.0,105.0,8.07,4.97,2011,19.0,5,138,0.0,2.0,3.0,49.0,138,12,131,64
Craig Bragg,0.0,73,196,4.46,36.0,,,,,2005,5.0,6,195,0.0,3.0,0.0,27.0,195,16,117,69
Anthony Kimble,2.0,72,216,4.54,36.0,17.0,122.0,7.08,4.4,2009,NaN,,,NaN,NaN,NaN,NaN,,,,
Scott Ravanesi,14.0,72,191,4.85,,,,,,2010,NaN,,,NaN,NaN,NaN,NaN,,,,
D.J. Jones,5.0,73,319,5.04,28.5,25.0,108.0,7.73,4.65,2017,NaN,,,1.0,1.0,4.0,36.0,198,16,162,59
Justin Hardy,0.0,70,192,4.56,36.5,11.0,114.0,6.63,4.21,2015,21.0,4,107,0.0,3.0,0.0,77.0,107,14,78,73
Greg Eslinger,13.0,75,292,5.13,30.0,28.0,101.0,7.59,4.68,2006,13.0,6,198,0.0,2.0,14.0,57.0,198,3,92,73
Jordan Lomax,11.0,70,202,4.75,36.0,8.0,120.0,7.18,4.15,2016,NaN,,,NaN,NaN,12.0,23.0,NA,25,323,33
Mekale McKay,0.0,76,207,4.55,35.0,12.0,123.0,7.08,4.63,2016,NaN,,,NaN,NaN,NaN,NaN,,,,
Lamar Mady,7.0,74,317,5.48,23.0,35.0,95.0,8.07,4.82,2013,NaN,,,NaN,NaN,NaN,NaN,,,,
Jalston Fowler,15.0,71,254,4.94,33.5,23.0,114.0,7.56,4.4,2015,10.0,4,108,0.0,5.0,16.0,6.0,108,1,149,55
Daniel Carlson,16.0,77,213,,,,,,,2018,NaN,,,2.0,9.0,14.0,18.0,167,1,158,60
Kolby Listenbee,0.0,72,197,4.39,35.5,15.0,129.0,,,2016,7.0,6,192,0.0,3.0,0.0,49.0,192,18,158,59
Dion Lewis,2.0,67,193,4.56,34.5,17.0,112.0,6.9,4.18,2011,8.0,5,149,0.0,5.0,1.0,39.0,149,10,101,72
Troy Fumagalli,9.0,77,247,,,14.0,,,,2018,NaN,,,0.0,6.0,8.0,64.0,156,10,168,58
Roy Miller,5.0,73,310,4.93,32.0,36.0,103.0,8.01,4.74,2009,17.0,3,81,1.0,1.0,4.0,16.0,81,12,110,66
Jason Snelling,15.0,71,230,4.79,30.0,,111.0,7.06,4.37,2007,21.0,7,244,0.0,5.0,1.0,41.0,244,4,248,38
Edmund Kugbila,7.0,76,317,5.13,22.5,23.0,105.0,7.72,4.65,2013,9.0,4,108,0.0,2.0,7.0,261.0,108,14,192,52
Terrance Copper,0.0,72,208,4.53,35.5,,116.0,7.34,4.31,2004,NaN,,,NaN,NaN,NaN,NaN,,,,
Anthony Arline,1.0,74,199,4.43,34.5,12.0,124.0,7.02,4.46,2007,NaN,,,NaN,NaN,6.0,52.0,NA,15,111,69
Stephen Burton,0.0,73,221,4.5,34.5,19.0,117.0,7.04,4.31,2011,3.0,7,236,0.0,3.0,0.0,115.0,236,32,252,39
Jay Ross,5.0,75,313,5.1,32.0,30.0,100.0,7.83,4.64,2010,NaN,,,NaN,NaN,NaN,NaN,,,,
D.J. Harper,2.0,69,211,4.52,33.5,23.0,120.0,7.07,4.35,2013,NaN,,,NaN,NaN,NaN,NaN,,,,
C.J. Anderson,2.0,68,224,4.6,32.0,17.0,119.0,7.15,4.12,2013,NaN,,,NaN,NaN,NaN,NaN,,,,
John Phillips,9.0,77,251,4.78,33.5,20.0,112.0,6.84,4.27,2009,14.0,6,208,0.0,6.0,8.0,41.0,208,11,154,58
Lamin Barrow,10.0,73,237,4.64,35.0,22.0,123.0,7.24,4.35,2014,13.0,5,156,1.0,4.0,10.0,1.0,156,14,150,57
Gabe Jackson,7.0,75,336,5.34,29.0,30.0,108.0,8.25,4.78,2014,23.0,3,81,0.0,2.0,7.0,30.0,81,3,73,73
Jerick McKinnon,2.0,69,209,4.41,40.5,32.0,132.0,6.83,4.12,2014,3.0,3,96,0.0,5.0,1.0,187.0,96,15,178,51
Adewale Ogunleye,3.0,76,253,,,,,,,2000,NaN,,,NaN,NaN,NaN,NaN,,,,
Kyle Christy,14.0,74,202,4.93,,,,,,2015,NaN,,,NaN,NaN,15.0,4.0,NA,3,318,32
Marquis Haynes,18.0,75,235,4.67,32.0,23.0,123.0,7.14,4.45,2018,NaN,,,1.0,4.0,10.0,36.0,136,21,244,44
Clenton Ballard,5.0,74,313,5.18,26.5,24.0,93.0,7.47,4.64,2002,NaN,,,1.0,1.0,4.0,139.0,180,NA,NA,NA
Lavonte David,6.0,73,233,4.57,36.5,19.0,119.0,7.28,4.22,2012,17.0,2,58,1.0,4.0,10.0,19.0,58,2,36,88
Tharold Simon,1.0,74,202,4.51,34.0,9.0,128.0,,,2013,0.0,5,138,1.0,0.0,6.0,1.0,138,33,NA,40
Shaq Thompson,6.0,72,228,4.64,33.5,,117.0,6.99,4.08,2015,9.0,1,25,1.0,4.0,10.0,35.0,25,8,69,78
Jason Kelce,13.0,75,280,4.89,30.5,,110.0,7.22,4.14,2011,8.0,6,191,0.0,2.0,14.0,69.0,191,9,NA,30
Marcell Harris,17.0,72,208,,,16.0,,,,2018,NaN,,,1.0,0.0,12.0,4.0,184,28,330,31
Selvish Capers,4.0,77,308,5.11,30.5,19.0,106.0,7.68,4.68,2010,28.0,7,231,0.0,2.0,3.0,46.0,231,9,NA,69
Kerry Wynn,3.0,77,266,4.97,34.0,31.0,113.0,,,2014,NaN,,,NaN,NaN,2.0,104.0,NA,23,246,40
Dwayne Wright,2.0,71,228,4.66,34.0,14.0,115.0,7.23,4.43,2007,7.0,4,111,0.0,5.0,1.0,56.0,111,12,136,64
Joe Thuney,4.0,77,304,4.95,28.5,28.0,110.0,7.47,4.54,2016,19.0,3,78,0.0,2.0,7.0,43.0,78,10,167,58
Jerome Mathis,0.0,71,181,4.28,35.5,,123.0,,,2005,16.0,4,114,0.0,3.0,0.0,109.0,114,9,62,82
Detrick Bonner,11.0,72,207,4.56,,15.0,,,,2015,NaN,,,NaN,NaN,NaN,NaN,,,,
Mario Fatafehi,5.0,74,295,5.29,,,,,,2001,11.0,5,133,1.0,1.0,4.0,40.0,133,NA,NA,NA
Victor Hampton,1.0,69,197,4.69,33.5,20.0,118.0,7.01,4.2,2014,NaN,,,NaN,NaN,NaN,NaN,,,,
David Terrell,0.0,75,213,4.43,,,,,,2001,26.0,1,8,0.0,3.0,0.0,13.0,8,NA,NA,NA
Jeremiah Johnson,2.0,69,209,4.57,35.0,20.0,115.0,,,2009,NaN,,,NaN,NaN,1.0,0.0,NA,13,143,59
Mark Herzlich,6.0,76,244,4.91,32.5,29.0,112.0,7.32,4.46,2011,NaN,,,NaN,NaN,10.0,37.0,NA,10,161,58
Emile White,12.0,72,219,4.68,34.5,16.0,111.0,7.26,,2001,NaN,,,NaN,NaN,NaN,NaN,,,,
Vernon Carey,7.0,76,335,5.33,,30.0,,,,2004,18.0,1,19,0.0,2.0,3.0,8.0,19,1,31,89
Rob Morris,10.0,74,250,4.77,33.0,18.0,113.0,6.93,4.17,2000,22.0,1,28,1.0,4.0,9.0,55.0,28,NA,NA,NA
Boseko Lokombo,6.0,74,225,4.66,,,122.0,7.15,4.3,2014,NaN,,,NaN,NaN,NaN,NaN,,,,
Manaia Brown,5.0,75,301,5.1,34.5,21.0,111.0,7.63,4.47,2006,NaN,,,NaN,NaN,NaN,NaN,,,,
Walter Thurmond,1.0,71,189,4.53,,,,,,2010,0.0,4,111,1.0,0.0,6.0,26.0,111,15,NA,64
Mike Mickens,1.0,71,184,4.53,,,,,,2009,14.0,7,227,1.0,0.0,6.0,69.0,227,17,132,61
Aldrick Robinson,0.0,70,184,4.35,40.0,17.0,126.0,6.65,4.09,2011,28.0,6,178,0.0,3.0,0.0,100.0,178,20,166,57
Rasheem Green,3.0,77,275,4.73,32.5,,118.0,7.24,4.39,2018,NaN,,,1.0,1.0,2.0,3.0,79,3,63,79
Ed Dickson,9.0,76,249,4.59,34.0,23.0,115.0,7.32,4.59,2010,1.0,3,70,0.0,6.0,8.0,26.0,70,6,91,72
John McCargo,5.0,73,302,5.15,30.5,25.0,110.0,7.79,4.48,2006,7.0,1,26,1.0,1.0,4.0,43.0,26,6,62,82
Carl Stewart,15.0,73,230,4.66,39.0,30.0,134.0,7.12,4.5,2008,NaN,,,NaN,NaN,NaN,NaN,,,,
Mohamed Sanu,0.0,73,211,4.62,36.0,19.0,126.0,6.88,4.22,2012,12.0,3,83,0.0,3.0,0.0,67.0,83,15,109,68
Drew Strojny,4.0,79,327,5.37,29.5,,99.0,7.98,4.84,2004,NaN,,,0.0,2.0,NaN,NaN,,,,
Jordan White,0.0,72,208,4.63,35.0,14.0,119.0,6.84,4.13,2012,25.0,7,244,0.0,3.0,0.0,107.0,244,38,252,35
Scott Tolzien,8.0,74,212,4.92,29.5,,116.0,6.84,4.12,2011,NaN,,,NaN,NaN,11.0,0.0,NA,14,297,32
Brandon Jones,0.0,73,210,4.42,37.0,,114.0,7.03,4.08,2005,10.0,3,96,0.0,3.0,0.0,10.0,96,26,198,55
Lawrence Guy,5.0,76,305,4.96,29.0,28.0,,7.6,4.43,2011,5.0,7,233,1.0,1.0,4.0,29.0,233,13,123,66
Anthony Hitchens,6.0,72,240,4.74,31.5,23.0,116.0,7.15,4.45,2014,14.0,4,119,1.0,4.0,10.0,23.0,119,33,NA,30
Devin Thomas,0.0,74,216,4.41,28.0,,126.0,7.15,4.26,2008,28.0,2,34,0.0,3.0,0.0,31.0,34,2,24,91
D'Brickashaw Ferguson,4.0,78,312,5.08,,,,,,2006,25.0,1,4,0.0,2.0,3.0,41.0,4,1,3,98
John Schlecht,5.0,72,295,4.95,31.5,27.0,101.0,7.45,4.3,2001,NaN,,,NaN,NaN,NaN,NaN,,,,
Jacoby Glenn,1.0,72,179,4.64,34.0,,123.0,6.97,4.26,2015,NaN,,,NaN,NaN,6.0,70.0,NA,26,160,45
Connor Williams,4.0,77,296,5.05,34.0,26.0,112.0,7.83,4.63,2018,NaN,,,0.0,2.0,7.0,16.0,50,3,37,86
Mike Nugent,16.0,70,182,4.72,,,,,,2005,25.0,2,47,2.0,9.0,17.0,2.0,47,1,107,70
Jaymar Johnson,0.0,71,177,4.5,32.0,14.0,118.0,6.75,4.18,2008,3.0,6,193,0.0,3.0,0.0,120.0,193,59,NA,30
Will Smith,3.0,75,275,4.6,,,,,,2004,27.0,1,18,1.0,4.0,13.0,63.0,238,48,NA,30
Jordan Carstens,5.0,77,305,5.0,28.5,28.0,106.0,8.35,4.8,2004,NaN,,,NaN,NaN,NaN,NaN,,,,
Calvin Ridley,0.0,72,189,4.43,31.0,15.0,110.0,6.88,4.41,2018,NaN,,,0.0,3.0,0.0,6.0,26,1,20,90
Josh Johnson-01,8.0,75,213,4.53,33.5,,110.0,7.56,4.42,2008,17.0,5,160,NaN,NaN,NaN,NaN,,,,
Mike Evans,0.0,77,231,4.53,37.0,12.0,,7.08,4.26,2014,17.0,1,7,1.0,1.0,0.0,17.0,7,2,7,94
Shaunard Harts,12.0,72,200,4.56,34.5,12.0,119.0,7.14,,2001,29.0,7,212,1.0,0.0,5.0,53.0,212,NA,NA,NA
Jordan Akins,9.0,75,249,,,,,,,2018,NaN,,,0.0,6.0,8.0,70.0,98,8,152,61
Eric Saubert,9.0,77,253,,33.0,22.0,121.0,,,2017,NaN,,,0.0,6.0,8.0,226.0,174,14,187,53
Josh Oglesby,4.0,79,338,5.75,28.5,22.0,,,,2012,NaN,,,NaN,NaN,NaN,NaN,,,,
Ryan Sims,5.0,76,311,5.09,,27.0,,,,2002,29.0,1,6,1.0,1.0,4.0,28.0,6,NA,NA,NA
Dane Uperesa,4.0,76,309,5.28,,,,,,2007,NaN,,,NaN,NaN,3.0,65.0,NA,14,165,57
James Williams,0.0,71,180,4.59,36.0,,123.0,7.22,4.16,2000,0.0,6,175,0.0,5.0,9.0,30.0,158,NA,NA,NA
Keith Lewis,11.0,72,204,4.6,37.0,11.0,121.0,7.28,4.07,2004,4.0,6,198,1.0,0.0,5.0,26.0,198,25,308,37
Alex Walls,16.0,72,211,5.0,,,,,,2003,NaN,,,NaN,NaN,NaN,NaN,,,,
Reggie Nelson,11.0,71,198,4.48,34.5,,,,,2007,20.0,1,21,1.0,0.0,7.0,132.0,141,NA,NA,NA
Johnny Dingle,3.0,73,265,4.95,,23.0,108.0,,,2008,NaN,,,NaN,NaN,NaN,NaN,,,,
Patrick Edwards,0.0,69,172,4.57,,,,,,2012,NaN,,,NaN,NaN,NaN,NaN,,,,
Bacarri Rambo,11.0,72,211,4.56,,17.0,,,,2013,28.0,6,191,1.0,0.0,12.0,7.0,191,9,110,70
Charlie Peprah,12.0,71,206,4.66,37.5,15.0,119.0,6.81,4.09,2006,30.0,5,158,1.0,0.0,5.0,6.0,158,25,NA,31
Joe Dahl,4.0,76,304,5.18,31.0,28.0,109.0,7.64,4.77,2016,15.0,5,151,0.0,2.0,7.0,59.0,151,7,132,63
Greg Mancz,13.0,76,301,5.08,,,,,,2015,NaN,,,NaN,NaN,18.0,89.0,NA,8,290,35
Emanuel Cook,12.0,70,197,4.57,35.0,18.0,116.0,,,2009,NaN,,,NaN,NaN,12.0,24.0,NA,9,131,61
Tommy Polley,6.0,76,234,4.55,,,,,,2001,24.0,2,42,1.0,4.0,9.0,5.0,42,NA,NA,NA
Chester Taylor,2.0,71,213,4.58,33.0,22.0,114.0,,,2002,1.0,6,207,0.0,5.0,1.0,89.0,207,NA,NA,NA
Mike Bennett,5.0,74,293,5.04,,,,,,2015,20.0,6,180,NaN,NaN,NaN,NaN,,,,
Sean Chandler,17.0,72,190,4.65,34.5,16.0,119.0,,4.62,2018,NaN,,,NaN,NaN,12.0,80.0,NA,24,269,39
Mark Asper,7.0,78,319,5.32,,23.0,,,,2012,7.0,6,178,0.0,2.0,7.0,26.0,178,26,NA,30
Derrick Williams,0.0,71,194,4.47,33.0,15.0,,,,2009,15.0,3,82,0.0,3.0,0.0,15.0,82,9,71,78
De'Cody Fagg,0.0,73,211,4.61,,,,,,2008,NaN,,,NaN,NaN,NaN,NaN,,,,
Ben Kelly,1.0,69,183,4.53,36.0,17.0,116.0,6.63,3.95,2000,18.0,3,84,1.0,0.0,5.0,34.0,84,NA,NA,NA
Kyler Fackrell,6.0,77,245,4.72,34.5,15.0,121.0,,,2016,5.0,3,88,1.0,4.0,10.0,94.0,88,10,111,68
David Bass,3.0,76,262,4.84,30.5,20.0,111.0,7.07,4.33,2013,23.0,7,233,1.0,1.0,2.0,152.0,233,27,NA,39
Deandre Coleman,5.0,77,314,5.12,,24.0,,,,2014,NaN,,,NaN,NaN,4.0,25.0,NA,18,162,54
Dri Archer,0.0,68,173,4.26,38.0,20.0,122.0,6.86,4.06,2014,6.0,3,97,0.0,3.0,1.0,150.0,97,9,98,68
Josh Harper,0.0,73,191,4.64,32.0,13.0,108.0,7.15,4.36,2015,NaN,,,NaN,NaN,0.0,56.0,NA,21,140,59
Markus Wheaton,0.0,71,189,4.45,37.0,20.0,120.0,6.8,4.02,2013,6.0,3,79,0.0,3.0,0.0,51.0,79,11,88,74
Anttaj Hawthorne,5.0,75,321,5.23,27.0,21.0,100.0,8.0,4.69,2005,23.0,6,175,1.0,1.0,4.0,42.0,175,3,36,89
Marcus Peters,1.0,72,197,4.53,37.5,17.0,121.0,7.08,4.08,2015,29.0,1,18,1.0,0.0,6.0,35.0,18,2,21,90
Nate Davis,8.0,73,226,4.95,26.5,,99.0,,,2009,4.0,5,171,0.0,2.0,11.0,108.0,171,8,187,51
Jimmy Kibble,14.0,70,195,,,,,,,2000,NaN,,,NaN,NaN,NaN,NaN,,,,
Evan Rodriguez,15.0,73,239,4.53,36.0,18.0,119.0,6.94,4.28,2012,26.0,4,111,0.0,6.0,8.0,80.0,111,8,222,41
Gerald McRath,10.0,74,231,4.49,34.0,19.0,123.0,7.24,4.35,2009,10.0,4,130,1.0,4.0,13.0,68.0,130,8,198,49
Eric Murray,1.0,71,199,4.49,39.5,15.0,124.0,7.08,4.05,2016,29.0,4,106,1.0,0.0,6.0,57.0,106,14,108,69
Javon Walker,0.0,75,210,4.38,39.5,,128.0,6.86,4.05,2002,5.0,1,20,0.0,3.0,0.0,5.0,20,NA,NA,NA
Tyrone Calico,0.0,76,223,4.34,38.0,,127.0,6.73,4.26,2003,10.0,2,60,0.0,3.0,0.0,193.0,60,NA,NA,NA
Shamarko Thomas,12.0,69,213,4.42,40.5,28.0,133.0,,4.26,2013,6.0,4,111,1.0,0.0,12.0,48.0,111,6,79,76
Cassius Marsh,3.0,76,252,4.89,32.0,14.0,108.0,7.08,4.25,2014,0.0,4,108,1.0,1.0,2.0,27.0,108,17,181,50
David Johnson-02,2.0,73,224,4.5,41.5,25.0,127.0,6.82,4.27,2015,NaN,,,NaN,NaN,NaN,NaN,,,,
Tim Brown,4.0,76,318,5.6,29.0,23.0,93.0,7.84,4.92,2005,NaN,,,0.0,3.0,NaN,NaN,,,,
Jack Williams-01,12.0,70,206,4.72,31.5,15.0,108.0,7.15,4.65,2000,NaN,,,NaN,NaN,NaN,NaN,,,,
Lamar Grant,1.0,71,188,4.62,32.0,16.0,117.0,7.3,4.3,2000,NaN,,,NaN,NaN,NaN,NaN,,,,
Nate Clements,1.0,71,209,4.38,,,,,,2001,7.0,1,21,1.0,0.0,5.0,2.0,21,NA,NA,NA
Brian Price,5.0,73,303,5.12,28.5,34.0,96.0,,,2010,17.0,2,35,1.0,1.0,4.0,27.0,35,7,40,87
Matt Leinart,8.0,77,223,4.9,,,,,,2006,11.0,1,10,0.0,7.0,11.0,3.0,10,1,4,98
Frank Romero,7.0,76,300,5.3,27.5,22.0,88.0,7.65,4.79,2002,NaN,,,NaN,NaN,NaN,NaN,,,,
Dimitri Flowers,2.0,74,248,4.83,30.5,17.0,109.0,7.45,4.53,2018,NaN,,,NaN,NaN,16.0,10.0,NA,2,254,42
Tyler Kroft,9.0,77,246,4.75,,17.0,,,,2015,12.0,3,85,0.0,6.0,8.0,67.0,85,3,76,75
Tellis Redmon,2.0,71,210,4.61,32.0,20.0,113.0,7.08,4.14,2002,NaN,,,NaN,NaN,NaN,NaN,,,,
Keenan Howry,0.0,70,178,4.56,31.5,,114.0,7.34,4.28,2003,3.0,7,221,0.0,3.0,0.0,26.0,221,NA,NA,NA
Derwin James,17.0,75,215,4.47,40.0,21.0,132.0,,,2018,NaN,,,1.0,0.0,12.0,5.0,17,1,7,93
Matt Kopa,4.0,78,300,5.14,,,,,,2010,NaN,,,NaN,NaN,NaN,NaN,,,,
Connor Cook,8.0,76,217,4.79,33.0,,113.0,7.21,4.28,2016,23.0,4,100,0.0,7.0,11.0,31.0,100,4,40,84
David Fluellen,2.0,71,224,4.72,36.5,,120.0,6.9,,2014,NaN,,,NaN,NaN,NaN,NaN,,,,
Deion Branch,0.0,69,191,4.47,36.0,,117.0,6.71,3.78,2002,19.0,2,65,0.0,3.0,0.0,22.0,65,NA,NA,NA
Antwan Kirk-Hughes,7.0,75,316,5.43,27.0,,95.0,8.28,4.91,2002,NaN,,,NaN,NaN,NaN,NaN,,,,
Johnthan Banks,1.0,74,185,4.61,34.0,10.0,125.0,6.97,4.27,2013,17.0,2,43,1.0,0.0,6.0,30.0,43,7,55,83
Robert Nkemdiche,5.0,75,294,4.87,35.0,28.0,116.0,,,2016,11.0,1,29,1.0,1.0,4.0,36.0,29,5,35,87
Leonard Davis,4.0,78,370,5.32,28.0,33.0,97.0,8.72,5.18,2001,11.0,1,2,0.0,2.0,3.0,16.0,2,NA,NA,NA
"Mario Edwards, Jr.",3.0,75,279,4.76,32.5,32.0,120.0,7.44,4.55,2015,23.0,2,35,NaN,NaN,NaN,NaN,,,,
Kody Bliss,14.0,70,179,5.08,,,,,,2007,NaN,,,NaN,NaN,15.0,18.0,NA,3,218,44
Martin Patterson,10.0,73,243,4.89,34.0,21.0,115.0,7.31,4.2,2005,NaN,,,NaN,NaN,13.0,0.0,NA,16,292,38
Drew Kaser,14.0,74,212,4.95,,,,,,2016,31.0,6,179,2.0,8.0,15.0,17.0,179,1,305,35
Mike Gesicki,9.0,77,247,4.54,41.5,22.0,129.0,6.76,4.1,2018,NaN,,,0.0,6.0,8.0,15.0,42,3,51,83
Jason Babin,3.0,75,260,4.62,34.0,28.0,121.0,7.03,4.14,2004,16.0,1,27,1.0,4.0,9.0,107.0,27,4,43,86
Tim Manning,0.0,71,179,4.59,28.5,,111.0,7.24,4.27,2004,NaN,,,NaN,NaN,NaN,NaN,,,,
Travis Bright,7.0,76,321,5.26,35.5,34.0,108.0,7.75,4.72,2009,NaN,,,NaN,NaN,7.0,0.0,NA,13,219,46
Ray McDonald,3.0,75,276,4.88,,,,,,2007,4.0,3,97,0.0,3.0,1.0,97.0,13,NA,NA,NA
