Player,Pos,Ht,Wt,Forty,Vertical,BenchReps,BroadJump,Cone,Shuttle,Year,Team,Round,Pick,side,category,pos_abbr,school_abbr,overall,pos_rk,ovr_rk,grade
Anthony White,2.0,72,195,4.68,32.5,,118.0,7.05,4.24,2000,NaN,,,NaN,NaN,NaN,NaN,,,,
Javorius Allen,2.0,72,221,4.53,35.5,11.0,121.0,6.96,4.28,2015,1.0,4,125,0.0,5.0,NaN,NaN,,,,
Steve Breaston,0.0,72,193,4.46,33.0,,124.0,6.9,4.29,2007,11.0,5,142,0.0,3.0,0.0,13.0,142,22,185,52
Cosey Coleman,7.0,76,322,5.4,28.0,,101.0,8.15,4.97,2000,17.0,2,51,0.0,2.0,7.0,9.0,51,NA,NA,NA
Kendall Newson,0.0,74,200,4.69,33.5,,117.0,6.87,4.27,2002,20.0,7,222,0.0,3.0,0.0,168.0,222,NA,NA,NA
Xzavie Jackson,3.0,75,278,4.92,33.0,18.0,110.0,,,2007,NaN,,,NaN,NaN,NaN,NaN,,,,
Charles Brown-02,1.0,69,202,4.53,35.5,18.0,114.0,6.94,4.06,2012,NaN,,,NaN,NaN,NaN,NaN,,,,
T.Y. Hilton,0.0,69,183,4.34,,,,,,2012,22.0,3,92,0.0,3.0,0.0,128.0,92,10,79,75
Jordan Jenkins,6.0,75,259,4.8,36.5,16.0,121.0,,,2016,25.0,3,83,1.0,4.0,10.0,7.0,83,8,93,71
Steven Clark,14.0,77,231,5.18,,,,,,2014,NaN,,,NaN,NaN,15.0,18.0,NA,2,297,33
Cairo Santos,16.0,68,164,4.76,,,,,,2014,NaN,,,NaN,NaN,NaN,NaN,,,,
Joe Thomas,4.0,79,311,4.92,33.0,28.0,110.0,7.95,4.88,2007,2.0,1,3,0.0,3.0,3.0,42.0,3,1,4,98
Kevin Williams,3.0,77,304,4.81,30.0,23.0,112.0,7.66,5.04,2003,3.0,1,9,1.0,0.0,4.0,33.0,9,NA,NA,NA
