overall,year,player_0,pos,college,weight_0,forty,vertical,bench,broad,threecone,shuttle,Height,side,team_1,pos_rk,grade
-999,0.882352941,0.194132439,1,0.868421053,0.880116959,0.998527436,0.992348159,0.971374046,0.97556719,0.997847308,0.998476945,0.890243902,1,1,0.985822306,0.942622951
-999,1,0.146186085,0.19047619,0.930921053,0.930555556,0.998597085,0.988043998,0.972328244,0.978184991,0.998105234,0.998695946,0.914634146,1,1,0,0
72,0.823529412,0.735456832,0.238095238,0.266447368,0.960526316,0.999044824,0.985174558,0,0.969458988,0.998472283,0.998974675,0.93902439,0,0.666666667,0.949905482,0.982695811
-999,0.117647059,0.263034367,0.761904762,0.118421053,0.883040936,0.998696582,0,0,0,0,0,0.93902439,1,1,0,0
240,0.117647059,0.152053646,0.857142857,0.924342105,0.89619883,0.998577185,0.984696318,0.970419847,0.964223386,0.998045712,0.998666083,0.890243902,0.333333333,0.75,0.962192817,0.945355191
22,0.941176471,0.559430008,1,0.398026316,0.877923977,0.99838814,0.991391679,0,0.981675393,0,0,0.890243902,0.333333333,0.555555556,0.948015123,0.992714026
39,0.058823529,0.669404862,1,0.651315789,0.877192982,0.998328441,0.993304639,0,0.983420593,0.99793659,0.998427172,0.890243902,0.333333333,0.138888889,0.957466919,0.97723133
214,0,0.522212909,1,0.292763158,0.872076023,0.998736381,0.986609278,0,0.971204188,0,0.998795493,0.853658537,0.333333333,0.083333333,0.992438563,0.93715847
-999,0.470588235,0.701424979,0.047619048,0.381578947,0.872076023,0.998477688,0.987087518,0.966603053,0.972949389,0,0,0.87804878,1,1,0,0
-999,0.529411765,0.719027661,0.666666667,0.986842105,0.901315789,0.998706532,0,0,0,0,0,0.890243902,1,1,0,0
-999,0.176470588,0.545515507,0.80952381,0.532894737,0.903508772,0.999074673,0.982783357,0,0.965095986,0.998224277,0.999203631,0.926829268,1,1,0,0
157,0.235294118,0.8248114,0.571428571,0.671052632,0.953947368,0.999243819,0.979435677,0.978053435,0,0,0,0.926829268,0.333333333,0.861111111,0.948960302,0.972677596
17,0.117647059,0.153562448,0.666666667,0.358552632,0.907163743,0.998716482,0.987565758,0.96851145,0.97382199,0.997976271,0.998666083,0.902439024,0,0.555555556,0.947069943,0.996357013
117,0.294117647,0.615926236,0.142857143,0.901315789,0.929093567,0.998716482,0.984696318,0.974236641,0.963350785,0.99837308,0.998914948,0.93902439,0,0.888888889,0.956521739,0.967213115
229,0.352941176,0.352724225,0,0.572368421,0.962719298,0.999502512,0.979435677,0.971374046,0.953752182,0.999206381,0.999432587,0.951219512,0.333333333,0.972222222,0.968809074,0.93715847
87,1,0.587426655,0.619047619,0.345394737,0.953216374,0.998845829,0.989478718,0.977099237,0.97556719,0.99875997,0.99911404,0.890243902,0.333333333,0.75,0.956521739,0.962659381
-999,0.764705882,0.392623638,0.380952381,0.069078947,0.91374269,0,0.987087518,0.97519084,0.97469459,0.997976271,0.998765629,0.902439024,1,1,0.959357278,0.946265938
-999,0.058823529,0.375523889,0.904761905,0.588815789,0.886695906,0.99839809,0.99952176,0.969465649,0.987783595,0,0,0.87804878,0,1,0.957466919,0.965391621
135,0.588235294,0.923386421,0.80952381,0.684210526,0.896929825,0.998925427,0.981348637,0,0.963350785,0.998303639,0.998805447,0.926829268,0.333333333,0.333333333,0.949905482,0.978142077
-999,0.823529412,0.11751886,0.714285714,0.055921053,0.942982456,0,0,0,0,0,0,0.951219512,1,1,0.967863894,0.940801457
72,0.588235294,0.846269908,0.142857143,0.671052632,0.929824561,0.99879608,0.985652798,0.976145038,0.965968586,0.998164755,0.998735765,0.914634146,0,0.555555556,0.948960302,0.982695811
-999,0.647058824,0.873093043,0.761904762,0.075657895,0.89619883,0.999014974,0,0,0,0,0,0.926829268,1,1,0,0
213,0.882352941,0.317015926,0.904761905,0.848684211,0.875730994,0,0.989956958,0.970419847,0.982547993,0,0,0.87804878,0,0.222222222,0.965028355,0.955373406
-999,0.058823529,0.009723386,0.761904762,0.476973684,0.891812865,0,0,0,0,0,0,0.926829268,1,1,0,0
